image_id,family,module,motif,note,seed,expert_depletion,expert_fog,expert_disconnection,expert_burden,learned_depletion,delta_depletion,learned_fog,delta_fog,learned_disconnection,delta_disconnection,learned_burden,delta_burden,visual_shift_l2,image_bias,image_nuisance_l2
IMG_001,anchor,energy,winged_mantle,single-dim anchor for depletion,2322554251,0.22,0.1,0.12,0.18,0.23855934,0.018559335470199584,0.0,-0.1,0.12384436,0.0038443627953529402,0.12392907,-0.05607093155384063,0.11620317303633833,0.0,0.1043944
IMG_002,anchor,energy,tidal_pour,single-dim anchor for depletion,2906471226,0.38,0.1,0.12,0.18,0.3203014,-0.05969858646392823,0.06721506,-0.032784937322139746,0.20574817,0.08574817061424256,0.09765435,-0.08234564989805221,0.13701214603760348,0.0,0.057884675
IMG_003,anchor,energy,folded_column,single-dim anchor for depletion,2933631925,0.6,0.1,0.12,0.18,0.49961782,-0.10038218498229978,0.012671709,-0.08732829093933106,0.032003254,-0.087996746301651,0.07286554,-0.10713446170091628,0.19215627417242281,0.0,0.03779922
IMG_004,anchor,energy,mist_window,single-dim anchor for depletion,3421045335,0.82,0.1,0.12,0.18,0.68962574,-0.13037425994873042,0.0063009784,-0.09369902163743973,0.07561241,-0.044387589097023006,0.057932407,-0.12206759333610534,0.20651321924203175,0.0,0.04815047
IMG_005,anchor,clarity,splinter_cloud,single-dim anchor for fog,511102617,0.16,0.22,0.12,0.14,0.08981298,-0.0701870208978653,0.09874594,-0.12125405788421631,0.13034229,0.010342289805412297,0.091976754,-0.04802324563264848,0.14846534792812457,0.0,0.09468229
IMG_006,anchor,clarity,central_cavern,single-dim anchor for fog,1126234134,0.16,0.38,0.12,0.14,0.09605568,-0.06394432097673416,0.25093454,-0.12906545877456665,0.08776709,-0.03223291307687759,0.08417949,-0.05582050919532777,0.1578025942946192,0.0,0.124652624
IMG_007,anchor,clarity,paired_lobes,single-dim anchor for fog,2283111,0.16,0.6,0.12,0.14,0.041874982,-0.11812501758337021,0.43988457,-0.1601154267787933,0.07120645,-0.04879354953765869,0.023545884,-0.11645411640405656,0.2356540714173217,0.0,0.13391748
IMG_008,anchor,clarity,island_gap,single-dim anchor for fog,2266365591,0.16,0.82,0.12,0.14,0.15043229,-0.009567711353302005,0.85658306,0.03658305883407598,0.107779056,-0.012220944166183467,0.16622074,0.0262207394838333,0.04761029247536289,0.0,0.18003799
IMG_009,anchor,connection,eclipse_twins,single-dim anchor for disconnection,2637852453,0.12,0.12,0.22,0.16,0.0,-0.12,0.0,-0.12,0.28399152,0.06399151563644409,0.15729167,-0.002708334326744083,0.18138977134412704,0.0,0.09837006
IMG_010,anchor,connection,overhead_mass,single-dim anchor for disconnection,2466103400,0.12,0.12,0.38,0.16,0.14166611,0.021666114330291752,0.0,-0.12,0.34254965,-0.03745034813880921,0.0483436,-0.11165640115737915,0.16952610714963307,0.0,0.10141419
IMG_011,anchor,connection,sunken_body,single-dim anchor for disconnection,1534835291,0.12,0.12,0.6,0.16,0.21780422,0.0978042232990265,0.031492896,-0.08850710362195968,0.51918346,-0.08081654310226438,0.049659573,-0.11034042745828629,0.19001446538974776,0.0,0.115222484
IMG_012,anchor,connection,root_plume,single-dim anchor for disconnection,1565817064,0.12,0.12,0.82,0.16,0.08661467,-0.03338533163070678,0.041714877,-0.0782851231098175,0.8299934,0.009993426799774219,0.15725657,-0.002743426561355594,0.0857352660047868,0.0,0.17370577
IMG_013,anchor,burden,winged_mantle,single-dim anchor for burden,1840327392,0.16,0.14,0.12,0.22,0.051439248,-0.10856075197458268,0.0,-0.14,0.21364965,0.09364964544773102,0.15227257,-0.06772743284702301,0.21152469860945458,0.0,0.10629232
IMG_014,anchor,burden,tidal_pour,single-dim anchor for burden,430310457,0.16,0.14,0.12,0.38,0.1489987,-0.011001307368278507,0.0,-0.14,0.14014871,0.020148714184761052,0.29285124,-0.08714876055717469,0.1664989667047886,0.0,0.10633692
IMG_015,anchor,burden,folded_column,single-dim anchor for burden,1675975348,0.16,0.14,0.12,0.6,0.05816465,-0.10183535128831864,0.04437858,-0.0956214213371277,0.004581876,-0.11541812390089035,0.5222067,-0.07779327630996702,0.1971979516992707,0.0,0.09293919
IMG_016,anchor,burden,mist_window,single-dim anchor for burden,1157713060,0.16,0.14,0.12,0.82,0.08032175,-0.07967824846506119,0.0826117,-0.05738829761743547,0.03330426,-0.08669574081897735,0.70848083,-0.11151916503906245,0.1720311472642333,0.0,0.09863208
IMG_017,blend,energy,splinter_cloud,blend of depletion and fog,412682267,0.72,0.46,0.22,0.16999999999999998,0.7187656,-0.001234383583068821,0.55783117,0.09783116817474363,0.19156764,-0.028432355523109437,0.25073263,0.08073263049125673,0.12999468310625403,0.0,0.057632644
IMG_018,blend,energy,central_cavern,blend of depletion and fog,1937760669,0.6,0.6,0.12,0.22,0.57892936,-0.02107063531875608,0.6248986,0.024898612499237083,0.16762596,0.04762596368789673,0.25669023,0.036690233945846557,0.0683982328815956,0.0,0.12066593
